title,category,release
Golgo 13: Top Secret Episode,Action,September 1988
Gomoku Narabe Renju,Board,"Aug 27, 1983"
The Goonies II,Modern Action Adventure,November 1987
The Goonies,2D Platformer,"Feb 21, 1986"
Gorby no Pipeline Daisakusen,Puzzle,"Apr 12, 1991"
The Gorilla Man,Board,"Apr 28, 1993"
Gotcha! The Sport!,Light Gun Shooter,November 1987
Gozonji: Yaji Kita Chin Douchuu,Adventure,"Nov 17, 1989"
Gradius,Shoot-'Em-Up,December 1986
Gradius II,Shoot-'Em-Up,"Dec 16, 1988"
Grand Master,Action,"Feb 26, 1991"
Great Battle Cyber,Beat-'Em-Up,"Dec 25, 1992"
Great Deal,Board,"Oct 25, 1991"
The Great Waldo Search,Miscellaneous,December 1992
The Great Wall,Stacking Puzzle,1992
Greg Norman's Golf Power,Golf Sim,July 1992
Gremlins 2: The New Batch,Action,October 1990
The Guardian Legend,Shoot-'Em-Up,April 1989
Guerrilla War,Shoot-'Em-Up,June 1989
Gumshoe,Light Gun Shooter,"Jun  6, 1986"
Gun Hed: Aratanaru Tatakai,Strategy,"Apr 13, 1990"
Gun Nac,Shoot-'Em-Up,September 1991
Gun.Smoke,Shoot-'Em-Up,February 1988
Gyrodine,Shoot-'Em-Up,"Mar 13, 1986"
Gyromite,2D Platformer,October 1985
Gyruss,Shoot-'Em-Up,February 1989
Hammerin' Harry,2D Platformer,1992
Hana no Star Kaidou,2D Platformer,"Mar 17, 1987"
Hanafuda Yuukyou Den: Nagarebana Oryuu,Miscellaneous,1991
Hanjuku Hero,Strategy,"Dec  2, 1988"
Happy Camper,2D Platformer,Canceled
Happy Pairs,Puzzle,1991
Harlem Globetrotters,Basketball,March 1991
Hatris,Puzzle,April 1992
Hatris (Japan),Matching Puzzle,"Jul  6, 1990"
Hayauchi Super Igo,Board,"Mar  3, 1989"
Heavy Barrel,Action,March 1990
Heavy Shreddin',Snowboarding,June 1990
Heisei Tensai Bakabon,Action,"Dec  6, 1991"
Hell Fighter,2D Platformer,1992
Hello Kitty no Hanabatake,Action,"Dec 11, 1992"
Hello Kitty World,Action,"Mar 27, 1992"
Heracles no Eikou: Toujin Makyouden,Role-Playing,"Jun 12, 1987"
Heracles no Eikou II: Titan no Metsubou,Role-Playing,"Dec 23, 1989"
HeroQuest,Action Role-Playing,Canceled
Hi no Tori: Gaou no Bouken,2D Platformer,"Jan  4, 1987"
Hidden Chinese Chess,Board,1989
Higemaru Makaijima: Nanatsu no Shima Daibouken,Action,"Apr 14, 1987"
High Speed,Pinball,July 1991
Hirake! Ponkikki,Miscellaneous,"Apr 17, 1992"
Hiryu no Ken II: Dragon no Tsubasa,Beat-'Em-Up,"Jul 29, 1988"
Hiryu no Ken III: 5 Nin no Ryuu Senshi,Beat-'Em-Up,"Jul  6, 1990"
Hiryu no Ken Special: Fighting Wars,2D Fighting,"Jun 21, 1991"
Hissatsu Doujou Yaburi,Role-Playing,"Jul 18, 1989"
Hissatsu Shigoto Nin,Adventure,"Dec 15, 1990"
Hit Marmot,Light Gun Shooter,1991
Hogan's Alley,Light Gun Shooter,October 1985
Hokkaidou Rensa Satsujin: Ohotsuku ni Kiyu,Adventure,"Jun 27, 1987"
Hokuto no Ken,Beat-'Em-Up,"Aug 10, 1986"
Hokuto no Ken 3: Shinseiki Souzou Seiken Retsuden,Role-Playing,"Oct 19, 1989"
Hokuto no Ken 4: Shichisei Hakenden: Hokuto Shinken no Kanata e,Role-Playing,"Mar 29, 1991"
Hollywood Squares,Trivia / Game Show,September 1989
Home Alone,Action,October 1991
Home Alone 2: Lost in New York,Action,October 1992
Home Run Nighter: Pennant League!!,Baseball Sim,"Mar 31, 1989"
Home Run Night '90: The Pennant League,Baseball Sim,"Jul 24, 1990"
Hon Shogi: Naitou Kudan Shogi Hiden,Board,"Aug 10, 1985"
Honey Peach,Casino,1990
Honoo no Doukyuuji: Dodge Danpei,Sports,"Mar 28, 1992"
Honoo no Doukyuuji: Dodge Danpei 2,Sports,"Mar 26, 1993"
Hook,2D Platformer,April 1992
Hoops,Basketball,June 1989
1991 Du Ma Racing,Horse Racing,1991
Hoshi o Miru Hito,Role-Playing,"Oct 27, 1987"
Hot Slots,Casino,1991
Hottaman no Chisoko Tanken,Action,"Dec  6, 1986"
Hudson Hawk,2D Platformer,February 1992
The Hunt for Red October,Strategy,January 1991
Hyakkiyakou,Role-Playing,"Feb 22, 1989"
Hyaku no Sekai no Monogatari: The Tales on a Watery Wilderness,Board,"Aug  9, 1991"
Hydlide,Action Role-Playing,June 1989
Hydlide 3: Yami Kara no Houmonsha,Action Role-Playing,"Feb 17, 1989"
Hyokkori Hyoutanjima: Nazo no Kaizokusen,Action,"Apr 25, 1992"
Ice Climber,2D Platformer,October 1985
Ice Hockey,Ice Hockey,March 1988
Ide Yosuke Meijin no Jissen Mahjong,Board,"Sep 24, 1987"
Ide Yosuke Meijin no Jissen Mahjong II,Board,"Feb 22, 1991"
Idol Hakkenden,Adventure,"Sep 14, 1989"
Igo Meikan,Board,"Jan 10, 1990"
Igo Shinan,Board,"Jul 14, 1989"
Igo Shinan '91,Board,"Jul  5, 1991"
Igo Shinan '92,Board,"Mar 10, 1992"
Igo Shinan '93,Board,"Nov 20, 1992"
Igo Shinan '94,Board,"Dec 17, 1993"
Igo: Kyuu Roban Taikyoku,Board,"Aug 11, 1987"
Ikari  III: The Rescue,Beat-'Em-Up,February 1991
Ikari Warriors,Shoot-'Em-Up,May 1987
Ikari Warriors II: Victory Road,Shoot-'Em-Up,April 1988
Image Fight,Shoot-'Em-Up,July 1990
The Immortal,Fantasy Action Adventure,November 1990
Impossible Mission-II,Sci-Fi Action Adventure,1990
Seiryaku Simulation: Inbou no Wakusei: Shancara,Strategy,"Jun 26, 1992"
The Incredible Crash Dummies,2D Platformer,August 1994
Indiana Jones and the Last Crusade (Taito),Action,March 1991
Indiana Jones and the Last Crusade (UBI),Action,December 1993
Indiana Jones and the Temple of Doom,2D Platformer,1988
Indora no Hikari,Role-Playing,"Oct 20, 1987"
Infiltrator,Helicopter Sim,January 1990
Insector X,Shoot-'Em-Up,"Sep 20, 1990"
International Cricket,Cricket,1992
Iron Tank: The Invasion of Normandy,Action,July 1988
Ironsword: Wizards & Warriors II,2D Platformer,December 1989
Isaki Shuugorou no Keiba Hisshou Gaku,Horse Racing,"Mar 20, 1990"
Ishin no Arashi,Strategy,"Sep 15, 1990"
Isolated Warrior,Shoot-'Em-Up,February 1991
Itadaki Street: Watashi no Oten ni Yottette,Board,"Mar 21, 1991"
"Ivan ""Ironman"" Stewart's Super Off Road",Rally / Offroad Racing,April 1990
J-League Fighting Soccer: The King of Ace Strikers,Soccer Sim,"Jun 19, 1993"
J-League Winning Goal,Soccer Sim,"May 27, 1994"
Jack Nicklaus' Greatest 18 Holes of Major Championship Golf,Golf Sim,March 1990
Jack the Giant Slayer,Action,"Dec 19, 1990"
Jackal,Action,September 1988
Jackie Chan's Action Kung Fu,2D Platformer,December 1990
Jackpot,Casino,1990
Jajamaru Gekimaden: Maboroshi no Kinmajou,Action Role-Playing,"May 29, 1990"
Jajamaru Ninpou Chou,Role-Playing,"Mar 28, 1989"
Jajamaru no Daibouken,2D Platformer,"Aug 22, 1986"
James Bond Jr.,2D Platformer,November 1992
Jarin-Ko Chie: Bakudan Musume no Shiawase Sagashi,Adventure,"Jul 15, 1988"
Jaws,Action,November 1987
Jeopardy!,Trivia / Game Show,September 1988
Jeopardy! 25th Anniversary Edition,Trivia / Game Show,June 1990
Jeopardy! Junior Edition,Trivia / Game Show,October 1989
JESUS: Kyoufu no Bio Monster,Sci-Fi Adventure,"Mar 17, 1989"
The Jetsons: Cogswell's Caper!,2D Platformer,December 1992
Jikuu Yuten: Debias,Action Role-Playing,"Nov 27, 1987"
Jimmy Connors Tennis,Tennis,November 1993
JJ: Tobidase Daisakusen Part II,Shoot-'Em-Up,"Dec  7, 1987"
Joe & Mac,2D Platformer,December 1992
John Elway's Quarterback,Football Sim,March 1989
Jongbou,Board,"Jul 18, 1987"
Jordan vs Bird: One on One,Basketball Sim,August 1989
Joshua & the Battle of Jericho,Action,1992
Journey to Silius,2D Platformer,September 1990
Journey to the West,2D Platformer,1994
Joust,2D Platformer,October 1988
Jovial Race,Car Combat,1989
Joy Mech Fight,2D Fighting,"May 21, 1993"
Jurassic Park,Sci-Fi Action Adventure,June 1993
Juuouki,Beat-'Em-Up,"Jul 20, 1990"
Juvei Quest,Role-Playing,"Jan  4, 1991"
Kabuki Quantum Fighter,2D Platformer,January 1991
Kabushiki Doujou: The Stock Speculation,Strategy,"May  2, 1989"
Kaettekita! Gunjin Shogi: Nanya Sore!?,Board,"May 26, 1989"
Kagerou Densetsu,Action Role-Playing,"May 11, 1990"
Kaguya Hime Densetsu,Adventure,"Dec 16, 1988"
Kai no Bouken: The Quest of Ki,2D Platformer,"Jul 22, 1988"
Kaijuu Monogatari,Role-Playing,"Nov 18, 1988"
Kaiketsu Yancha Maru 2: Karakuri Land,Action,"Aug 30, 1991"
Kaiketsu Yancha Maru 3: Taiketsu! Zouringen,Action,"Mar 30, 1993"
Kamen no Ninja: Akakage,2D Platformer,"May 20, 1988"
Kamen Rider Club: Gekitotsu Shocker Land,Action,"Feb  3, 1988"
Kamen Rider SD: Guranshokkaa no Yabou,Board,"Jan 22, 1993"
Kanshakudama Nage Kantarou no Toukaidou Gojuusan Tsugi,2D Platformer,"Jul  3, 1986"
Karakuri Kengoden Musashi Lord: Karakuri Jin Shissouru,Action Role-Playing,"Oct  5, 1991"
Karaoke Studio,Rhythm / Music,"Jul 30, 1987"
Karaoke Studio Senyou Cassette Vol. 1,Rhythm / Music,"Oct 28, 1987"
Karaoke Studio Senyou Cassette Vol. 2,Rhythm / Music,"Feb 18, 1988"
Karate Champ,2D Fighting,November 1986
The Karate Kid,Action,November 1987
Karateka,Action,"Dec  5, 1985"
Karnov,2D Platformer,January 1988
Kart Fighter,2D Fighting,1990
Kawa no Nushi Tsuri,Role-Playing,"Aug 10, 1990"
Keisan Game: Sansuu 1 Toshi,Edutainment,"Apr 25, 1986"
Keisan Game: Sansuu 2 Toshi,Edutainment,"Apr 25, 1986"
Keisan Game: Sansuu 3 Toshi,Edutainment,"Apr 25, 1986"
Keisan Game: Sansuu 4 Toshi,Edutainment,"Oct 30, 1986"
Keisan Game: Sansuu 5+6 Toshi,Edutainment,"Oct 30, 1986"
Kero Kero Keroppi no Daibouken,Action,"Mar 29, 1991"
Kero Kero Keroppi no Daibouken 2: Donuts Ike ha Oosawagi!,Action,"Feb 19, 1993"
Kick Off,Soccer Sim,"Jul 22, 1992"
Kickle Cubicle,Puzzle,September 1990
KickMaster,Action,January 1992
Kid Icarus,2D Platformer,July 1987
Kid Klown in Night Mayor World,2D Platformer,April 1993
Kid Kool and the Quest for the Seven Wonder Herbs,2D Platformer,March 1990
Kid Niki: Radical Ninja,2D Platformer,November 1987
Kidou Senshi Z-Gundam: Hot Scramble,Shoot-'Em-Up,"Aug 28, 1986"
King Kong 2: Ikari no Megaton Punch,Action Role-Playing,"Dec 18, 1986"
King Neptune's Adventure,Action,1990
The King of Kings: The Early Years,2D Platformer,1991
King's Knight,Shoot-'Em-Up,September 1989
King's Quest V,Adventure,June 1992
Kings of the Beach,Volleyball,January 1990
Kirby's Adventure,2D Platformer,May 1993
Kiteretsu Daihyakka,2D Platformer,"Feb 23, 1990"
Kiwi Kraze,2D Platformer,March 1991
KlashBall,Futuristic Sports,July 1991
Klax,Matching Puzzle,1990
Knight Rider,Racing,December 1989
Konami Hyper Soccer,Soccer Sim,1992
Koufuku o Yobu Game: Dora Dora Dora,Board,"Jan 25, 1991"
Kouryu Densetsu Villgust Gaiden,Role-Playing,"Jul 30, 1993"
Koushien,Baseball Sim,"Oct  6, 1989"
Krazy Kreatures,Puzzle,1990
The Krion Conquest,2D Platformer,January 1991
Krusty's Fun House,Puzzle,September 1992
Kung Fu,Beat-'Em-Up,October 1985
Kung-Fu Heroes,Action,March 1989
Kunio-Kun no Nekketsu Soccer League,Soccer Sim,"Apr 23, 1993"
Kurogane Hiroshi no Yosou Daisuki! Kachiuma Densetsu,Alt. Sports,"Apr 20, 1990"
Kyatto Ninden Teyandee,Action,"Jul 19, 1991"
Kyuukyoku Harikiri Stadium Heisei Gannenhan,Baseball Sim,"Jul 21, 1989"
L'Empereur,Historic Turn-Based Strategy,November 1991
La Salle Ishii no Child's Quest,Role-Playing,"Jun 23, 1989"
Lagrange Point,Role-Playing,"Apr 26, 1991"
Laser Invasion,Light Gun Shooter,June 1991
Last Action Hero,Beat-'Em-Up,October 1993
Last Armageddon,Role-Playing,"Nov 10, 1990"
The Last Ninja,Modern Action Adventure,February 1991
The Last Starfighter,Shoot-'Em-Up,June 1990
Law of the West,Action,"Mar  6, 1987"
Lee Trevino's Fighting Golf,Golf Sim,September 1988
Legacy of the Wizard,Action Role-Playing,April 1989
The Legend of Kage,2D Platformer,August 1987
The Legend of Prince Valiant,Historic Action Adventure,1992
The Legend of Zelda,Fantasy Action Adventure,"Aug 22, 1987"
Legendary Wings,Shoot-'Em-Up,July 1988
Legends of the Diamond: The Baseball Championship Game,Baseball Sim,January 1992
Lemmings,Action Puzzle,November 1992
Lethal Weapon,Beat-'Em-Up,April 1993
Life Force,Shoot-'Em-Up,August 1988
Linus Spacehead's Cosmic Crusade,Adventure,1991
The Lion King,2D Platformer,1994
Little League Baseball: Championship Series,Baseball,July 1990
Little Magic,Strategy,"Sep 14, 1990"
The Little Mermaid,2D Platformer,July 1991
Little Nemo: The Dream Master,2D Platformer,September 1990
Little Ninja Brothers,Action Role-Playing,December 1990
Little Red Hood,Fantasy Action Adventure,1990
Little Samson,2D Platformer,November 1992
Lode Runner,Action Puzzle,September 1987
The Lone Ranger,Action Role-Playing,August 1991
Loopz,Puzzle,October 1990
Lost Word of Jenny: Ushinawareta Message,2D Platformer,"Mar 25, 1987"
Low G Man: The Low Gravity Man,2D Platformer,September 1990
Lunar Pool,Billiards,October 1987
Lupin Sansei: Pandora no Isan,Action,"Nov  6, 1987"
M.C. Kids,2D Platformer,February 1992
M.U.L.E.,Strategy,September 1990
M.U.S.C.L.E.,Wrestling,October 1986
Mach Rider,Motorcycle Racing,"Oct 18, 1985"
Mad Max,Action,July 1990
The Mafat Conspiracy,Action,June 1990
Magic Block,Puzzle,1991
Magic Carpet 1001,Shoot-'Em-Up,1991
Magic Darts,Sports,September 1991
Magic Jewelry,Puzzle,1990
Magic Jewelry II,Puzzle,1991
Magic Johnson's Fast Break,Basketball Sim,March 1990
The Magic of Scheherazade,Action Role-Playing,December 1989
Magical * Taru Ruto-Kun: Fantastic World!!,2D Platformer,"Mar 21, 1991"
Magical Tower,Action,1992
Magician,Adventure,February 1991
Magmax,Shoot-'Em-Up,October 1988
Magnum Kiki Ippatsu: Empire City 1931,Shoot-'Em-Up,"Dec 15, 1987"
Mahjang Companion,Board,1990
Mahjong,Board,"Aug 27, 1983"
Mahjong Academy,Casino,1992
Mahjong Block,Stacking Puzzle,1991
Mahjong Taikai,Casino,"Oct 31, 1989"
Mahjong Taisen,Board,"May 20, 1992"
Mahou no Princess Minkiimomo Remember Dream,Party,"Jul 29, 1992"
Majaventure: Mahjong Senki,Board,"Oct 19, 1990"
Majin Eiyuuden Wataru Gaiden,Action Role-Playing,"Mar 23, 1990"
Major League,Baseball Sim,"Oct 27, 1989"
Major League Baseball,Baseball,April 1988
Majou Densetsu II: Daimashikyou Galious,Action Role-Playing,"Aug 11, 1987"
Maniac Mansion,Adventure,September 1990
Mappy,2D Platformer,"Nov 14, 1984"
Mappy-Land,2D Platformer,April 1989
Marble Madness,Puzzle,March 1989
Mario Bros.,2D Platformer,June 1986
Mario Is Missing!,Edutainment,July 1993
Mario's Time Machine,Edutainment,June 1994
Marusa no Onna,Adventure,"Sep 19, 1989"
Master Chu and the Drunkard Hu,2D Platformer,1989
Master Fighter II: The World Warrior,2D Fighting,1992
Master Shooter,Light Gun Shooter,1993
Masuzoe Youichi: Asa Made Famicom,Adventure,"Apr 17, 1992"
Maxi 15,Compilation,1992
Mechanized Attack,Light Gun Shooter,June 1990
Mega Man,2D Platformer,December 1987
Mega Man 2,2D Platformer,June 1989
Mega Man 3,2D Platformer,November 1990
Mega Man 4,2D Platformer,January 1992
Mega Man 5,2D Platformer,December 1992
Mega Man 6,2D Platformer,March 1994
Meitantei Holmes: Kiri no London Satsujin Jiken,Adventure,"May 13, 1988"
Meitantei Holmes: M-Kara no Chousenjou,Adventure,"May  1, 1989"
Menace Beach,2D Platformer,1990
Mendel Palace,Action,October 1990
Mermaids of Atlantis: The Riddle of the Magic Bubble,Puzzle,1991
Metal Fighter,Shoot-'Em-Up,1989
Metal Force,2D Platformer,1993
Metal Gear,Modern Action Adventure,June 1988
Metal Mech: Man & Machine,Action,March 1991
Metal Storm,Action,February 1991
Metroid,Sci-Fi Action Adventure,August 1986
Mezase! Top Pro Green ni Kakeru Yume,Golf Sim,"Mar  5, 1993"
Michael Andretti's World Grand Prix,Formula One Racing,June 1990
Mickey Mousecapade,2D Platformer,October 1988
Mickey's Adventure in Numberland,Edutainment,March 1994
Mickey's Safari in Letterland,Edutainment,March 1993
Micro Machines,Racing,1991
MiG 29 Soviet Fighter,Shoot-'Em-Up,1992
Might & Magic: Secret of the Inner Sanctum,Role-Playing,August 1992
Mighty Bomb Jack,Action,July 1987
Mighty Final Fight,Beat-'Em-Up,July 1993
Mike Tyson's Punch-Out!!,Boxing,October 1987
Millionaire,Board,1990
Millipede,Shoot-'Em-Up,October 1988
Milon's Secret Castle,Action,September 1988
Mindblower Pak,Compilation,1990
Mine Sweeper,Puzzle,1989
Mine Sweeper 2,Puzzle,1989
Mine Sweeper 3,Puzzle,1989
The Miracle Piano Teaching System,Rhythm / Music,1990
Mission Cobra,Action,1990
Mission: Impossible,Action,September 1990
Mississippi Satsujin Jiken: Murder on the Mississippi,Adventure,"Oct 31, 1986"
Moero!! Judo Warriors,2D Fighting,"Jun 29, 1990"
Moeru! Oniisan,Action,"Aug  8, 1989"
Mezase Pachi Pro: Pachiokun,Casino,"Dec 18, 1987"
The Money Game,Strategy,"Aug 10, 1988"
Monopoly,Board,May 1991
Monster in My Pocket,2D Platformer,January 1992
Monster Maker: 7-tsu no Hihou,Role-Playing,"Dec 20, 1991"
Monster Party,2D Platformer,June 1989
Monster Truck Rally,Rally / Offroad Racing,September 1991
Moon Crystal,Action,"Aug 28, 1992"
Moon Ranger,Action,1990
Mother,Role-Playing,"Jul 27, 1989"
Motocross Champion,Motocross Racing,"Jan 27, 1989"
Motor City Patrol,Mission-based Driving,January 1992
Mr. Gimmick,2D Platformer,"May 19, 1993"
Ms. Pac-Man,Action,November 1993
Ms. Pac-Man (Tengen),Action,1990
Jim Henson's Muppet Adventure: Chaos at the Carnival,Action,November 1990
Murder Club,Adventure,"Jun 30, 1989"
Musashi no Bouken,Role-Playing,"Dec 22, 1990"
The Mutant Virus: Crisis in a Computer World,Action,April 1992
Mystery Quest,2D Platformer,April 1989
Nagagutsu o Haita Neko: Sekai Isshuu 80 Nichi Dai Bouken,2D Platformer,"Nov 21, 1986"
Nakashima Satoshi: F-1 Hero 2,Formula One Racing,"Sep 27, 1991"
Nantettatte!! Baseball,Baseball Sim,"Oct 26, 1990"
Nantettatte!! Baseball Ko-Game Set OB All Star Hen,Baseball Sim,"Feb 26, 1991"
Nantettatte!! Baseball Kogame Casette '91 Kaimakuban,Baseball Sim,"May 31, 1991"
Napoleon Senki,Strategy,"Mar 18, 1988"
NARC,Shoot-'Em-Up,August 1990
Navy Blue,Wargame,"Feb 14, 1992"
Nekketsu Kakutou Densetsu,2D Fighting,"Dec 23, 1992"
Nekketsu! Street Basket: Ganbare Dunk Heroes,Basketball,"Dec 22, 1993"
NES Open Tournament Golf,Golf,September 1991
NES Play Action Football,Football Sim,September 1990
New Ghostbusters II,Action,1990
NFL Football,Football Sim,September 1989
Nigel Mansell's World Championship Racing,Racing,October 1993
A Nightmare on Elm Street,2D Platformer,October 1990
Nightshade,Adventure,January 1992
Niji no Silkroad,Role-Playing,"Feb 22, 1991"
Ninja Crusaders,2D Platformer,December 1990
Ninja Gaiden,2D Platformer,March 1989
Ninja Gaiden II: The Dark Sword of Chaos,2D Platformer,May 1990
Ninja Gaiden III: The Ancient Ship of Doom,2D Platformer,August 1991
Ninja Jajamaru Kun,2D Platformer,"Nov 15, 1985"
Ninja Jajamaru: Ginga Daisakusen,Action,"Mar 29, 1991"
Ninja Kid,2D Platformer,"Oct 29, 1986"
Nintendo World Championships 1990,Compilation,1990
Nintendo World Cup,Soccer,December 1990
Nishimura Kyoutarou Mystery: Blue Train Satsujin Jiken,Adventure,"Jan 20, 1989"
Nishimura Kyoutarou Mystery: Super Express Satsujin Jiken,Adventure,"Mar  2, 1990"
Nobunaga's Ambition,Historic Turn-Based Strategy,June 1989
Nobunaga's Ambition II,Historic Turn-Based Strategy,April 1991
North and South,Historic Real-Time Strategy,December 1990
Nuts & Milk,Puzzle,"Jul 28, 1984"
Oeka Kids: Anpanman no Hiragana Daisuki,Miscellaneous,"Mar 26, 1991"
Oeka Kids: Anpanman to Oekaki Shiyou!!,Miscellaneous,"Oct 25, 1990"
Oishinbo: Kyukyoku no Menu 3bon Syoubu,Adventure,"Jul 25, 1989"
Operation: Secret Storm,Action,1992
Operation Wolf,Light Gun Shooter,May 1989
Orb 3-D,Action,October 1990
Othello,Board,December 1988
Othello (HES),Board,1988
Outlanders,Action Role-Playing,"Dec  4, 1987"
Over Horizon,Shoot-'Em-Up,1991
Overlord,Strategy,January 1993
P'radikus Conflict,Action,1990
P.O.W.: Prisoners of War,Beat-'Em-Up,September 1989
Paaman: Enban o Torikaese,Action,"Dec 14, 1990"
Pac-Land,Action,"Nov 21, 1985"
Pac-Man,Action,November 1993
Pac-Man (Tengen),Puzzle,1987
Pac-Mania,Action,1991
Palamedes,Puzzle,November 1990
Panic Restaurant,2D Platformer,October 1992
Paperboy,Action,December 1988
Paperboy 2,Action,April 1992
Parasol Henbee,2D Platformer,"Feb 15, 1991"
Parasol Stars: Rainbow Islands II,2D Platformer,1991
Paris-Dakar Rally Special!,Rally / Offroad Racing,"Feb  1, 1988"
Parodius Da!,Shoot-'Em-Up,1992
Peek A Boo Poker,Casino,1991
Perfect Bowling,Bowling,"Jul 25, 1989"
Pescatore,Puzzle,Canceled
Pesterminator: The Western Exterminator,Action,1990
Fox's Peter Pan & the Pirates: The Revenge of Captain Hook,2D Platformer,January 1991
Phantom Fighter,Action,April 1990
Hikari no Senshi Photon: The Ultimate Game on Planet Earth,Shoot-'Em-Up,"Aug 28, 1987"
Pictionary,Board,July 1990
Pinball,Pinball,"Oct 18, 1985"
Pinball Quest,Pinball,June 1990
Pinbot,Pinball,April 1990
Pipe Dream,Puzzle,September 1990
Pipemania,Puzzle,1991
Pirates!,Strategy,October 1991
Plasma Ball,Action,"Mar 27, 1992"
Platoon,Action,December 1988
Poke Block,Stacking Puzzle,Canceled
Poker Mahjong,Casino,1991
Pooyan,Shoot-'Em-Up,"Sep 20, 1985"
Popeye,2D Platformer,June 1986
Popeye no Eigo Asobi,Edutainment,"Nov 22, 1983"
Porter,Action Puzzle,1991
Portopia Renzoku Satsujin Jiken,Adventure,"Nov 29, 1985"
Power Blade,2D Platformer,March 1991
Power Blade 2,2D Platformer,October 1992
Power Punch II,Boxing,June 1992
Power Soccer,Soccer,"Mar 30, 1990"
Predator,Action,April 1989
Prince of Persia,2D Platformer,November 1992
Princess Tomato in the Salad Kingdom,Adventure,February 1991
Pro Sport Hockey,Ice Hockey,November 1993
Pro Wrestling,Wrestling,March 1987
Pro Yakyuu? Satsujin Jiken!,Adventure,"Dec 24, 1988"
Punch-Out!!,Boxing,August 1990
The Punisher,Sci-Fi First-Person Shooter,November 1990
Puss 'N Boots: Pero's Great Adventure,2D Platformer,June 1990
Puzzle,Puzzle,1990
Puzznic,Matching Puzzle,November 1990
Pyramid,Puzzle,1992
Q*bert,Action,February 1989
Qix,Puzzle,January 1991
Quarth,Puzzle,"Apr 13, 1990"
Quattro Adventure,Compilation,1991
Quattro Arcade,Compilation,1992
Quattro Sports,Sports,1991
Quiz Project Q: Cutie Project & Battle 10000,Trivia / Game Show,"May 29, 1992"
R.B.I. Baseball,Baseball Sim,1988
R.B.I. Baseball 2,Baseball Sim,1990
R.B.I. Baseball 3,Baseball Sim,1991
R.C. Pro-Am,Racing,February 1988
R.C. Pro-Am II,Racing,December 1992
Race America,Racing,May 1992
Racer Mini Yonku: Japan Cup,Board,"Aug 25, 1989"
Racket Attack,Tennis,October 1988
Rackets & Rivals,Tennis,1993
Rad Racer,Racing,October 1987
Rad Racer II,Racing,June 1990
Rad Racket: Deluxe Tennis II,Tennis,1991
Radia Senki: Reimeihen,Action Role-Playing,"Nov 15, 1991"
Raid 2020,Action,1989
Raid on Bungeling Bay,Shoot-'Em-Up,September 1987
Rainbow Islands,2D Platformer,June 1991
Rainbow Islands: Bubble Bobble 2,2D Platformer,1991
Rally Bike,Motorcycle Racing,September 1990
Rambo,2D Platformer,May 1988
Rampage,Action,December 1988
Rampart,Action,January 1992
Rampart (Japan),Puzzle,"Nov 29, 1991"
Recca,Shoot-'Em-Up,"Jul 17, 1992"
Remote Control,Trivia / Game Show,May 1990
The Ren & Stimpy Show: Buckaroo$!,Action,November 1993
Renegade,Beat-'Em-Up,January 1988
Rescue: The Embassy Mission,Modern Tactical Shooter,January 1990
Ring King,Boxing,September 1987
River City Ransom,Beat-'Em-Up,January 1990
Road Fighter,Racing,"Jun 18, 1992"
Road Runner,Action,1989
RoadBlasters,Racing,January 1990
Robin Hood: Prince of Thieves,Historic Action Adventure,November 1991
Robo Warrior,Action,December 1988
RoboCop,Shoot-'Em-Up,December 1989
RoboCop 2,2D Platformer,April 1991
RoboCop 3,2D Platformer,August 1992
RoboCop Versus The Terminator,2D Platformer,Canceled
Robodemons,Action,December 1989
Rock 'n Ball,Pinball,January 1990
Rockball,Action,1993
Rocket Ranger,Action,June 1990
The Rocketeer,2D Platformer,May 1991
Rockin' Kats,2D Platformer,September 1991
Roger Clemens' MVP Baseball,Baseball,October 1991
Rokudenashi Blues,Adventure,"Oct 29, 1993"
Rollerball,Pinball,February 1990
Rollerblade Racer,Skating,February 1993
Rollergames,Beat-'Em-Up,September 1990
Rolling Thunder,Shoot-'Em-Up,1989
Romance of the Three Kingdoms,Historic Turn-Based Strategy,October 1989
Romance of the Three Kingdoms II,Historic Turn-Based Strategy,September 1991
Roundball 2-on-2 Challenge,Basketball,May 1992
RPG Jinsei Game,Board,"Nov 26, 1993"
Rush'n Attack,2D Platformer,April 1987
Rygar,2D Platformer,July 1987
S.C.A.T.: Special Cybernetic Attack Team,Shoot-'Em-Up,June 1991
Saint Seiya: Ougon Densetsu,Role-Playing,1987
Saint Seiya: Ougon Densetsu Kanketsu Hen,Role-Playing,"May 30, 1988"
San Goku Shi II: Haou no Tairiku,Strategy,"Jun 10, 1992"
San Goku Shi: Chuugen no Hasha,Strategy,"Jul 29, 1988"
Sanrio Carnival,Puzzle,"Nov 22, 1990"
Sanrio Carnival 2,Puzzle,"Jan 14, 1993"
SD Gundam World: Gachapon Senshi 2 - Capsule Senki,Sci-Fi Turn-Based Strategy,"Jun 25, 1989"
SD Gundam World Gachapon Senshi 3: Eiyuu Senki,Sci-Fi Turn-Based Strategy,"Dec 22, 1990"
SD Gundam World Gachapon Senshi 4: New Type Story,Sci-Fi Turn-Based Strategy,"Dec 21, 1991"
SD Gundam World Gachapon Senshi 5: Battle of Universal Century,Sci-Fi Turn-Based Strategy,"Dec 22, 1992"
SD Gundam Gaiden: Knight Gundam Monogatari,Role-Playing,"Aug 11, 1990"
